location_id,address,applicant,days_hours,food_items,latitude,longitude,schedule,zip_codes
1336034,575 HARRISON ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7844204919929,-122.394380639101,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28856
1336027,1069 FOLSOM ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7770478751493,-122.407035093451,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336021,19 CLEMENTINA ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.787157744174,-122.395447605152,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28855
1336037,621 MINNA ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7782328396736,-122.410822989507,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336031,855 GEARY ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7859156878693,-122.417302284685,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28858
1336029,300 FRANKLIN ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7776578362104,-122.420652330833,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28852
1336030,301 VAN NESS AVE,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7790554424684,-122.420935196036,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28852
1336019,370 07TH ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7757128589746,-122.406950379686,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336032,65 GRACE ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7749445348205,-122.414436744752,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336040,1045 MISSION ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7797445729388,-122.409648343061,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336033,15 HARRIET ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7791762107668,-122.407221758472,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336038,786 MINNA ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7762227595142,-122.413907330441,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336041,1119 MISSION ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7786515145076,-122.411229567525,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336016,25 RUSS ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7794637316225,-122.408867951023,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336022,57 COLUMBIA SQUARE ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7773831451062,-122.405458166501,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336028,1398 FOLSOM ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7730967713109,-122.412745077205,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336020,634 CLAY ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7947930010178,-122.403863885865,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28860
1336018,732 BRANNAN ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7742302291309,-122.402102214519,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336035,938 HARRISON ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,
1336017,1455 03RD ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7711099394372,-122.389190040328,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,310
1336025,45 DORE ST,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.7740709289616,-122.412903986908,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,28853
1336015,Assessors Block /Lot,Paradise Catering,,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00051&ExportPDF=1&Filename=19MFF-00051_schedule.pdf,
1416733,1 BUSH ST,"Off the Grid Services, LLC",,,37.7909215072692,-122.400100423738,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=20MFF-00003&ExportPDF=1&Filename=20MFF-00003_schedule.pdf,28854
